Designator,Mid X,Mid Y,Rotation,Layer
ANT2,162.85,-117.675,270.0,top
BT1,146.275,-94.55,-90.0,top
Boot1,167.15,-92.725,270.0,top
C1,168.2425,-83.05,0.0,top
C10,165.35,-103.275,270.0,top
C11,159.825,-106.8,270.0,top
C12,165.025,-111.225,90.0,top
C13,169.75,-82.075,270.0,top
C14,162.825,-109.725,90.0,top
C15,158.1,-112.45,0.0,top
C16,159.78,-108.45,180.0,top
C17,165.075,-107.85,270.0,top
C18,171.125,-111.7,180.0,top
C19,159.2,-82.775,90.0,top
C2,158.825,-106.8,270.0,top
C20,162.62,-86.7625,180.0,top
C21,170.45,-89.45,270.0,top
C22,172.075,-88.275,270.0,top
C23,159.85,-84.9,90.0,top
C24,156.025,-87.15,270.0,top
C25,172.55,-85.975,0.0,top
C26,161.42,-112.875,0.0,top
C27,143.2,-110.025,180.0,top
C3,157.775,-106.8,270.0,top
C4,160.85,-106.8,270.0,top
C5,157.1,-93.23,0.0,top
C6,157.1,-94.2,0.0,top
C7,160.95,-94.875,90.0,top
C8,161.98,-107.85,270.0,top
C9,163.0,-107.85,270.0,top
D1,163.655,-95.15,180.0,top
D2,138.625,-111.65,90.0,top
D4,140.95,-111.65,270.0,top
D5,170.45,-85.7,90.0,top
D7,155.25,-114.475,90.0,top
D8,151.2,-116.8,180.0,top
J2,160.1,-76.70,180.0,top
L1,162.025,-105.84,90.0,top
L2,162.825,-112.385,90.0,top
L3,156.425,-110.9,90.0,top
Q4,167.4625,-85.6,-90.0,top
R1,162.145,-95.15,0.0,top
R10,143.475,-111.225,270.0,top
R11,142.775,-113.845,270.0,top
R12,153.925,-116.8,0.0,top
R13,151.775,-114.8,0.0,top
R14,155.6,-116.9,0.0,top
R15,151.725,-113.5,180.0,top
R2,151.55,-111.075,90.0,top
R3,169.45,-111.7,0.0,top
R4,141.25,-114.025,0.0,top
R5,143.525,-114.475,90.0,top
R6,158.35,-80.985,270.0,top
R7,142.725,-111.225,270.0,top
R8,161.35,-80.985,270.0,top
R9,159.05,-90.4,0.0,top
Reset1,167.575,-107.9,270.0,top
U1,160.025,-99.95,180.0,top
U2,163.45,-84.05,90.0,top
U3,166.85,-99.55,180.0,top
U4,147.4599,-112.85,270.0,top
U6,158.4,-88.05,0.0,top
Y2,163.65,-92.0,90.0,top
Y3,158.60,-110.77,0.0,top
